ID,gender,region,age,city,q1_rating,q1_reason,q2_rating,q2_reason,q2_reason-Comment,q3_rating,q3_reason,q4_1_rating,q5_1_rating,rating_outside_توفر المنتجات البترولية,rating_outside_المسافات بين المحطات,rating_outside_النظافة العامة لمرافق المحطة,rating_outside_نظافة وصيانة المسجد,rating_outside_نظافة دورات المياه,rating_outside_مظهر العاملين,rating_outside_تنوع العلامات التجارية (مطاعم ومقاهي),rating_outside_مستوى التموينات,rating_outside_خدمات السيارات (مغسلة - تغيير زيوت...),rating_inside_توفر المنتجات البترولية,rating_inside_المسافات بين المحطات,rating_inside_النظافة العامة لمرافق المحطة,rating_inside_توفر المصليات,rating_inside_توفر دورات المياه,rating_inside_مظهر العاملين,rating_inside_التموينات,rating_inside_خدمة تعبئة الماء والهواء المجانية,question1,HappendAt,InstanceId
40,"ذكر","منطقة القصيم","من 40 إلى 55 سنة","البدائع","3","المظهر العام لمحطات الوقود
ضعف التقدم في تطوير المحطات","5",,,"5",,"1","3","5","3","1","1","1","3","1","3","1","5","4","2","3","1","3","3","3","يجب ان تكون متطورة بما يتناسب مع تطوير المملكة وتعكس للجميع مدى النظافة والخدمات المقدمة ","5/1/2025, 6:36:43 PM",
41,"ذكر","منطقة المدينة المنورة","من 30 إلى 39 سنة","المدينة المنورة","3","ضعف التقدم في تطوير المحطات","5",,,"5",,"3","3","4","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2",,"5/18/2025, 8:25:00 PM",
42,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الأحساء","2","other","4",,,"4",,"4","4",,,,,,,,,,,,,,,,,,"عمل فحص دوري فى جوده اداء ماكينة حقن الوقود و عدد اللترات المقدمة","5/3/2025, 8:12:05 AM",
43,"ذكر","المنطقة الشرقية","أكثر من 60 سنة","الأحساء","4",,"4",,,"5",,"4","4",,,,,,,,,,,,,,,,,,"ارجو تزويد بعض محطات الاحساء بوقود الكروسين المسمى بالكاز سابقا","5/18/2025, 6:04:25 PM",
44,"ذكر","منطقة حائل","من 40 إلى 55 سنة","حائل","5",,"4",,,"1","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","5","3",,,,,,,,,,"4","4","2","2","1","4","5","5",,"5/1/2025, 6:55:45 PM",
45,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","4",,"3","عدم توفر وقود 91",,"5",,"2","3","5","5","4","2","2","5","4","4","4","4","4","4","2","1","5","4","3",,"5/1/2025, 6:07:59 PM",
46,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الدمام","4",,"2","عدم توفر ديزل",,"1","عدم توفر الدفع بالبطاقات الائتمانية","4","4",,,,,,,,,,,,,,,,,,,"5/2/2025, 12:45:53 AM",
47,"ذكر","منطقة المدينة المنورة","من 30 إلى 39 سنة","خيبر","1","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","4",,,"5",,"1","3","5","5","1","2","1","2","1","2","2","5","5","3","3","3","4","4","3",,"5/18/2025, 6:03:47 PM",
48,"ذكر","منطقة القصيم","من 30 إلى 39 سنة","بريدة","3","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","3","عدم توفر وقود 95",,"3","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","5","3",,,,,,,,,,"4","4","4","4","3","5","5","2","أتمنى توفير هواء الإطارات الالكتروني في مجمل محطات المملكه","5/18/2025, 11:28:29 PM",
49,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"4",,,"4",,"4","4",,,,,,,,,,,,,,,,,,,"5/2/2025, 2:19:54 PM",
50,"أنثى","منطقة مكة المكرمة","من 30 إلى 39 سنة","مكة المكرمة","4",,"5",,,"1","عدم توفر الدفع بالبطاقات الائتمانية","3","5","5","3","3","5","3","4","4","4","4",,,,,,,,,"اتمنى لمن يكون في جهاز في المحطه عطلان ينحط عليه ستيكر ولا اي شي يبين لانو مو معقول انا انتظر والموظف ما يبلغني واشوف الناس يجو بعدي يعبو بنزين ويمشو واكتشف بالنهايه انو الجهاز اللي انا واقفه عندو عطلان ","5/19/2025, 4:57:15 PM",
51,"ذكر","منطقة عسير","من 40 إلى 55 سنة","خميس مشيط","3","التفاوت في الخدمات المقدمة","3","عدم توفر ديزل",,"4",,"3","3","3","3","3","3","2","4","4","4","4","3","4","3","3","2","4","4","4","G","5/3/2025, 8:36:21 AM",
52,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","5",,"5",,,"5",,"3","5","5","5","1","1","1","3","4","4","3",,,,,,,,,"الرجاء الأهتمام بنظافه المصلي والحمامات أكرمكم الله دائما غير نظيفه بالمره او غير متوفره اساسا بالمحلات يقفلونها العمال لأنفسهم ","5/18/2025, 4:50:46 PM",
53,"ذكر","منطقة جازان","من 30 إلى 39 سنة","جازان","2","التفاوت في الخدمات المقدمة","5",,,"2","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","5","5",,,,,,,,,,,,,,,,,,,"5/1/2025, 5:49:21 PM",
54,"ذكر","منطقة نجران","من 40 إلى 55 سنة","نجران","4",,"4",,,"4",,"2","4","4","4","4","3","3","4","4","4","3",,,,,,,,,"لازالت المحطات خارج المدينه تحتاج الكثير من المتابعه حول النظافه والمرفقات والخدمات ","5/18/2025, 5:46:51 PM",
55,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","4",,"4",,,"2","عدم توفر الدفع بالبطاقات الائتمانية","4","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 8:30:33 PM",
56,"ذكر","منطقة جازان","من 30 إلى 39 سنة","جازان","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,"لاتوجد ","5/18/2025, 6:30:01 PM",
57,"ذكر","منطقة جازان","من 30 إلى 39 سنة","بيش","5",,"5",,,"4",,"3","5","5","5","4","4","4","3","5","5","4",,,,,,,,,"يرجى اضافة دفع عن طريق الفيزا. بالاضافة الى تفعيل نظام الشريحة الالكترونية للافراد حيث ان الفئات المستهدفة في هذه المبادرة الشركات فقط","5/18/2025, 5:20:08 PM",
58,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","2","التفاوت في الخدمات المقدمة","1",,,"1",,"3","2","1","1","3","3","3","3","3","3","3","1","3","3","3","3","3","3","3",,"5/3/2025, 11:26:51 AM",
59,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","المجمعة","3","المظهر العام لمحطات الوقود
ضعف التقدم في تطوير المحطات
التفاوت في الخدمات المقدمة","4",,,"4",,"2","3","3","4","3","2","1","2","2","3","3","3","4","1","1","1","3","3","3","اجبار ملاك المحطات على نظافة. والخدمات","5/18/2025, 4:51:30 PM",
60,"ذكر","المنطقة الشرقية","من 30 إلى 39 سنة","الأحساء","4",,"5",,,"5",,"4","4",,,,,,,,,,,,,,,,,,"سعياً للرقي بالخدمات المقدمة في محطات الوقود من جميع الجوانب ، المرجو وضع وسيلة تواصل مباشرة مع الجهات المعنية في كل محطة لأبداء رأي الجمهور في كل محطة لرصد جوانب التقصير سواءً من العاملين أو من ادارة المحطة  ( باركود مثلاً أو واتساب )  وبذلك يكون الجمهور هو الرقيب لأنه هو المستفيد الفعلي من الخدمات المقدمة ( ويتم ذلك عبر توثيق جرانب التقصير بالتصوير المباشر والرفع بذلك للمعنيين ولكم جزيل الشكر على هذه المبادرة في مشاركة الجمهور","5/18/2025, 9:43:01 PM",
61,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","4",,"5",,,"2","عدم توفر الدفع بالبطاقات الائتمانية","2","4","4","5","2","2",,,,,,,,,,,,,,,"5/3/2025, 2:57:01 AM",
62,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الأحساء","4",,"4",,,"5",,"4","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 6:58:52 PM",
63,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"4",,,"5",,"4","4",,,,,,,,,,,,,,,,,,"بعض المحطات لايتوفر فيها موقف أمام البقالة التابعة للمحطة","5/18/2025, 5:42:51 PM",
64,"ذكر","منطقة الباحة","من 18 إلى 29 سنة","بلجرشي","3","ضعف التقدم في تطوير المحطات
التفاوت في الخدمات المقدمة
other","1","عدم توفر وقود 95
عدم توفر ديزل",,"4",,"3","4","1","3","1","1","1","3","3","5","4",,,,,,,,,"الزام المحطات على معيار واحد داخل المدينة وان يكلف صاحب المحطة بوضع عامل نظافة مسؤول عن نظافة المصليات والمرافق والحمامات والصيانة أول بأول وتوفير بنزين 95 اجباري والديزل كذلك ","5/18/2025, 5:35:57 PM",
65,"ذكر","المنطقة الشرقية","من 40 إلى 55 سنة","الجبيل","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,"Good ","5/18/2025, 6:07:11 PM",
66,"ذكر","منطقة القصيم","من 40 إلى 55 سنة","النبهانية","4",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/4/2025, 12:21:40 AM",
67,"ذكر","منطقة عسير","من 40 إلى 55 سنة","بيشة","1","ضعف التقدم في تطوير المحطات","3","عدم توفر وقود 95
عدم توفر ديزل",,"3","عدم توفر الدفع ببطاقات مدى","2","3","3","3","1","1","1","3","3","2","2","3","3","2","1","1","2","3","1",,"5/18/2025, 5:46:20 PM",
68,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","2","التفاوت في الخدمات المقدمة","4",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","2","4","2","3","1","1","1","3","2","3","1",,,,,,,,,"استرشدوا بتجربة تشغيل المحطات من خلال المنشآت الصغيرة في امريكا ","5/3/2025, 6:59:36 PM",
69,"ذكر","منطقة المدينة المنورة","من 56 إلى 60 سنة","خيبر","4",,"4",,,"5",,"2","5","5","3","2","2","4","3","2","4","2",,,,,,,,,"جميع المحطات في المحافظات وطرق المحافظات يحتاج تطوير","5/18/2025, 11:13:09 PM",
70,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","2","ضعف التقدم في تطوير المحطات
التفاوت في الخدمات المقدمة","4",,,"2","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","1","3","5","4","2","2","1","2","3","3","3","5","4","2","1","1","2","4","2",,"5/18/2025, 5:10:29 PM",
71,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","5",,"5",,,"5",,"3","5","5","5","5","3","3","5","4","5","5",,,,,,,,,,"5/18/2025, 5:07:43 PM",
72,"ذكر","المنطقة الشرقية","من 30 إلى 39 سنة","حفر الباطن","4",,"4",,,"4",,"4","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 6:29:04 PM",
73,"ذكر","منطقة الرياض","من 56 إلى 60 سنة","الرياض","3","التفاوت في الخدمات المقدمة","5",,,"5",,"4","2",,,,,,,,,,"4","2","3","2","2","4","5","4","الاهتمام بدورات المياه ، بعد المسافة بين المحطات خارج المدن ، جودة المطاعم خارج المدن ","5/1/2025, 11:08:31 PM",
74,"ذكر","منطقة مكة المكرمة","من 40 إلى 55 سنة","مكة المكرمة","5",,"5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية","4","4",,,,,,,,,,,,,,,,,,"الاستمرار - الدفع بالبطاقة الائتمانية؟- الاعتماد على الشركات الكبرى والمتطورة لمحطات الوقود- عمل استبيان لكل المحطات الموجودة حسب كل مدينة وشكرا ","5/18/2025, 4:56:04 PM",
75,"ذكر","المنطقة الشرقية","من 30 إلى 39 سنة","الدمام","4",,"4",,,"4",,"5","4",,,,,,,,,,,,,,,,,,,"5/1/2025, 7:41:24 PM",
76,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","3","التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","5",,,"4",,"2","4","4","4","1","1","1","3","2","3","3",,,,,,,,,,"5/18/2025, 4:58:47 PM",
77,"ذكر","منطقة القصيم","من 40 إلى 55 سنة","بريدة","5",,"3","عدم توفر ديزل",,"3","عدم توفر الدفع بالبطاقات الائتمانية","2","5","5","3","2","1","1","4","2","4","3",,,,,,,,,"توفير ديزل . مظلة الديزل متهالكة . نظافة وصيانة دورات المياه والمصليات تحتاج زيادة متابعة ","5/18/2025, 8:50:32 PM",
78,"ذكر","منطقة الرياض","من 18 إلى 29 سنة","الرياض","4",,"4",,,"4",,"3","4","3","3","3","4","3","4","4","4","4",,,,,,,,,"عدم ارتفاع الأسعار في المحطات وذلك يسبب غلى في المعيشة على الأمد البعيد ","5/1/2025, 6:38:42 PM",
79,"ذكر","منطقة المدينة المنورة","من 40 إلى 55 سنة","العلا","1","ضعف التقدم في تطوير المحطات","2","عدم توفر ديزل",,"1","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","1","1","1","1","2","1","1","1","1","1","1","2","1","1","1","1","1","2","2",,"5/1/2025, 7:12:43 PM",
80,"ذكر","منطقة الرياض","من 40 إلى 55 سنة","الرياض","4",,"5",,,"5",,"2","4","5","3","1","1","1","4","3","3","3",,,,,,,,,,"5/1/2025, 7:02:42 PM",
81,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","3","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة
ضعف التقدم في تطوير المحطات","4",,,"4",,"3","4","5","4","2","1","1",,"2","2","2",,,,,,,,,"الاستفادة من الممارسات في الدول المجاورة مثل دبي","5/1/2025, 6:15:54 PM",
82,"ذكر","منطقة تبوك","من 30 إلى 39 سنة","تبوك","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"5/2/2025, 4:40:31 AM",
83,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","القنفذة","4",,"4",,,"4",,"3","4","5","4","3","3","3","4","4","4","4",,,,,,,,,"النظافه للمساجد ودورات المياه وقسم النساء وكذلك اختبارات مدى جوده البنزين","5/1/2025, 5:35:33 PM",
84,"أنثى","منطقة عسير","من 40 إلى 55 سنة","أبها","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,"اتمنى يكون في بطاقات ","5/18/2025, 5:05:20 PM",
85,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","3","المظهر العام لمحطات الوقود
التفاوت في الخدمات المقدمة","5",,,"3","عدم توفر الدفع بالبطاقات الائتمانية
عدم توفر الدفع بالمحافظ الرقمية","2","4","5","3","3","3","4","3","4","5","4",,,,,,,,,,"5/18/2025, 5:04:55 PM",
86,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","3","المظهر العام لمحطات الوقود
ضعف التقدم في تطوير المحطات","4",,,"4",,"1","2","3","1","1","2","1","3","2","1","4","3","2","2","3","1","4","3","1","الزيارات المفاجئ والعميل السري ","5/18/2025, 5:18:38 PM",
87,"ذكر","منطقة جازان","من 40 إلى 55 سنة","جازان","4",,"4",,,"1","عدم توفر الدفع بالبطاقات الائتمانية","4","4",,,,,,,,,,,,,,,,,,,"5/19/2025, 3:37:17 PM",
88,"ذكر","منطقة الرياض","من 30 إلى 39 سنة","الرياض","5",,"5",,,"5",,"5","5",,,,,,,,,,,,,,,,,,,"6/15/2025, 9:38:41 AM",
89,"ذكر","منطقة مكة المكرمة","من 30 إلى 39 سنة","جدة","3","ضعف التقدم في تطوير المحطات","4",,,"5",,"2","3","3","3","1","2","1","2","2","4","3","4","3","2","2","2","2","4","4",,"5/18/2025, 5:11:09 PM",
